# Simulation 5 (Up to date)
# 355 data points written for 49 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-9.1985,0,9.1985,0,0,0,0,0,0,90,0,0,0,434.67,59.977,0.071489,0.0014804,NaN,79.709,NaN,0.0061117,149810,0.25804,0,0.8486,0,0.67192,0.056676,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0015915
0.01,0,0,-8.0112,0,8.0112,0,0,0,0,0,0,90,0,0,0,434.67,59.977,0.071489,0.0014804,NaN,79.709,NaN,0.0062197,152457,0.77412,0,0.84574,0,0.66906,0.056677,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0019419
0.02,0,0,-6.8236,0,6.8236,0,0,0,0,0,0,90,0,0,0,434.62,59.931,0.071487,0.0014803,NaN,79.707,NaN,0.0063277,155104,1.2902,0,0.84294,0,0.66626,0.056677,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0021773
0.03,0,0,-5.6357,0,5.6357,0,0,0,0,0,0,90,0,0,0,434.57,59.885,0.071484,0.0014803,NaN,79.704,NaN,0.0064357,157751,1.8063,0,0.8402,0,0.66352,0.056678,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0023898
0.04,0,0,-4.4476,0,4.4476,0,0,0,0,0,0,90,0,0,0,434.53,59.838,0.071482,0.0014803,NaN,79.702,NaN,0.0065437,160398,2.3224,0,0.83753,0,0.66085,0.056678,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0026047
0.05,0,0,-3.2592,0,3.2592,0,0,0,0,0,0,90,0,0,0,434.48,59.792,0.07148,0.0014803,NaN,79.7,NaN,0.0066517,163045,2.8384,0,0.83492,0,0.65823,0.056678,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0028029
0.06,0,0,-2.0706,0,2.0706,0,0,0,0,0,0,90,0,0,0,434.44,59.746,0.071478,0.0014803,NaN,79.697,NaN,0.0066163,162179,3.3545,0,0.83577,0,0.65908,0.056678,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0030417
0.07,0,0,-0.88172,0,0.88172,0,0,0,0,0,0,90,0,0,0,434.39,59.7,0.071476,0.0014803,NaN,79.695,NaN,0.006581,161312,3.8706,0,0.83662,0,0.65994,0.056678,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0032453
0.08,0,0,0.30742,0,0.30742,0,0,0,0,0,0,90,0,0,0,434.34,59.654,0.071473,0.0014803,NaN,79.693,NaN,0.0065456,160446,4.3867,0,0.83748,0,0.6608,0.056678,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,90,0,NaN,15,1013.2,340.39,0.01,0.0034452
0.09,1.5407e-5,0.0030831,1.4968,0.0030831,1.4968,0,0,0,0,0,0,89.92,0,0,0,434.3,59.607,0.071471,0.0014803,NaN,79.691,NaN,0.0065103,159579,4.9028,0,0.83835,5.672e-9,0.66167,0.056678,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9475e-7,90,0,NaN,15,1013.2,340.39,0.01,0.0036474
